1	0	-4	-4
1	-10	-3	-2
0	3	1	1
2	-20	-17	-19
0	9	3	2
0	7	8	9
1	15	14	18
1	16	17	14
1	19	20	19
0	0	1	10
1	13	16	10
1	-3	-6	-2
2	-12	-15	-12
2	-12	-13	-10
1	-2	-3	-9
1	-10	-9	-7
1	14	13	10
2	-13	-15	-13
0	9	4	8
2	-14	-20	-10
1	17	10	18
1	0	-3	-10
0	9	4	9
1	10	17	10
2	-15	-20	-17
1	-5	-1	-7
1	12	17	12
2	-13	-20	-15
1	17	11	20
2	-17	-10	-19
1	16	16	17
0	9	4	4
1	-6	-4	-9
2	-17	-18	-20
1	0	-3	-2
2	-12	-20	-12
1	18	18	13
1	14	13	11
1	20	17	19
2	-12	-12	-15
1	14	14	17
0	6	2	2
1	17	16	14
1	-6	0	-5
1	-4	-7	-10
0	9	8	5
2	-20	-19	-20
2	-12	-13	-14
0	6	1	10
0	8	2	2
1	-7	-4	-3
1	-1	-7	-10
1	13	19	11
1	-4	-10	-10
1	0	-2	-8
1	-6	0	-7
1	11	13	18
2	-16	-17	-20
1	-1	-7	-4
2	-19	-11	-20
0	8	9	6
2	-18	-19	-17
1	10	17	17
1	14	13	10
0	8	10	6
2	-14	-16	-12
2	-14	-19	-13
1	-1	-2	-1
0	8	5	7
1	17	20	10
2	-18	-18	-19
1	-5	-3	-6
1	-9	-5	-7
1	-2	-4	-5
1	14	15	20
1	14	15	10
2	-15	-10	-17
0	7	6	2
0	9	3	0
2	-12	-17	-10
1	10	20	10
1	-5	-7	-6
0	0	2	8
2	-14	-12	-16
1	-4	-8	-10
2	-17	-11	-20
1	-6	-4	-10
2	-13	-19	-18
1	18	19	14
2	-12	-10	-14
1	15	19	11
1	-7	-2	-8
1	17	19	18
2	-20	-14	-13
1	-6	-5	0
0	10	4	8
2	-15	-17	-13
1	10	18	20
0	8	4	6
1	15	14	20
1	14	16	17
2	-18	-12	-18
0	7	4	8
1	-1	-7	-3
2	-18	-19	-14
1	14	10	19
2	-11	-19	-10
2	-15	-19	-18
2	-12	-18	-11
1	-9	-4	-2
0	1	7	4
2	-14	-12	-14
1	12	18	13
1	20	11	19
2	-16	-15	-10
1	19	19	14
0	8	3	0
0	1	8	5
0	1	1	8
0	6	8	3
1	-1	-2	-7
1	0	-4	-8
1	-3	-2	-4
1	17	11	19
2	-19	-13	-20
2	-16	-15	-16
1	20	13	11
0	8	10	5
0	3	3	8
1	14	11	14
1	11	18	20
1	13	10	11
2	-13	-13	-17
1	12	10	17
1	13	12	12
1	-4	-7	-7
2	-11	-14	-17
2	-19	-18	-17
0	8	5	1
0	6	9	1
1	-5	-4	-9
2	-12	-16	-14
1	10	16	18
2	-15	-19	-19
1	11	14	20
1	-7	-1	-6
1	-1	-1	-2
0	10	6	9
1	16	14	20
0	1	1	5
0	1	8	7
1	15	14	15
0	8	7	0
2	-20	-15	-18
1	-1	-8	-7
1	0	-2	-6
1	-2	-7	-7
2	-19	-14	-16
1	-2	-8	-3
0	4	1	5
0	5	1	3
1	-1	-2	-4
0	4	0	5
1	0	-9	-2
1	18	12	18
0	4	5	0
2	-10	-17	-13
1	-7	0	-4
1	12	14	16
1	-1	-3	-8
2	-13	-13	-13
2	-15	-18	-17
1	-9	-9	-8
2	-12	-20	-19
1	0	-1	-5
1	-6	-9	-5
1	13	13	14
1	0	-2	-7
0	1	6	5
0	1	0	4
1	-8	-10	-9
2	-20	-14	-15
2	-17	-19	-20
1	11	11	19
1	16	20	17
1	11	13	13
1	-8	-4	-8
1	16	13	13
1	-4	-9	-6
0	3	9	6
0	9	7	10
0	10	10	4
1	10	20	20
1	-10	-4	-3
1	11	12	10
0	9	2	0
2	-10	-18	-20
2	-13	-10	-12
1	-9	-9	-5
0	4	10	7
0	10	2	0
0	7	7	9
2	-20	-14	-15
1	-8	-7	-4
1	12	18	10
2	-18	-20	-15
2	-13	-20	-11
2	-19	-11	-17
2	-13	-15	-18
1	18	20	16
2	-11	-16	-17
1	-7	-6	-1
1	-3	-5	-9
2	-11	-15	-19
0	3	4	2
0	7	3	2
0	4	7	4
0	4	6	5
1	-9	-3	-2
2	-12	-19	-10
1	-5	-7	-4
1	15	20	13
1	-10	-4	-4
1	-2	0	-2
1	10	18	17
1	-9	-9	-6
1	12	10	17
2	-18	-10	-10
1	11	14	19
1	15	16	13
1	12	15	16
0	8	8	1
2	-19	-13	-10
1	-7	-10	-1
1	20	15	13
0	7	10	10
0	4	10	4
1	-7	-2	-7
1	-10	-2	-9
1	-7	-4	-3
1	-3	-9	-4
1	17	15	15
2	-14	-20	-19
2	-16	-18	-16
2	-14	-17	-10
1	11	16	11
1	-2	-4	-2
1	16	19	12
1	10	17	10
0	3	0	3
1	-1	-6	-7
1	-1	-8	-2
2	-18	-19	-18
1	-10	-3	-9
0	5	5	1
0	1	1	1
1	14	19	18
2	-13	-16	-15
1	10	18	10
1	15	15	10
1	18	13	18
1	0	-9	-9
1	-3	-9	0
2	-17	-19	-15
1	13	12	14
1	12	16	17
0	9	5	2
0	4	5	0
0	0	5	6
2	-20	-12	-12
0	3	3	7
2	-10	-20	-10
0	6	2	2
0	8	10	9
0	6	7	4
0	10	9	5
2	-10	-17	-20
1	17	13	20
